Grupo edad,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
0-4,2518272,2565975,2622953,2691955,2778541,2889653,3013213,3142189,3274265,3407292,3540507,3676163,3814201,3953326,4091421,4225882,4355206,4480892,4604832,4727997,4846385,4966035,5091521,5214410,5328571,5426096,5499054,5544448,5565957,5572706,5575709,5584934,5607225,5643218,5689738,5742025,5794412,5843255,5888723,5931955,5976873,6028149,6080724,6125748,6156543,6165494,6148603,6112542,6070747,6034489,6011751,6001971,5993759,5974270,5937952,5892810,5856199,5840474,5847858,5868791,5887825,5893316,5874816,5833932,5778963,5713718,5640883,5566096,5499344,5441726,5390584,5350224,5318207,5282854,5240545,5191526,5133956,5074957,5018018,4959991,4901698,4843600,4785854,4728576,4671905,4615954,4560834,4506614,4453172,4400269,4347734,4295573,4243968,4193082,4142943,4093538,4044843,3996845,3949537,3902852,3856688,3810957,3765581,3720512,3675723,3631207,3586977,3543067,3499549,3456529,3414096,3372283,3331057,3290389,3250290,3210762,3171780,3133282,3095199,3057507,3020210
5-9,2017135,2073751,2130448,2187073,2241982,2295731,2352037,2416905,2494101,2588908,2702277,2827634,2957842,3090270,3222392,3354252,3488582,3625470,3762868,3898335,4029278,4155091,4278144,4400293,4522952,4647932,4776287,4905014,5030051,5146207,5246218,5322383,5371514,5397376,5408085,5413306,5423015,5444471,5478529,5522440,5572122,5622838,5671478,5717715,5763219,5811778,5865789,5919249,5962017,5985812,5987875,5970467,5940251,5908627,5886309,5877627,5879135,5881951,5877853,5862077,5837829,5817531,5809726,5816515,5830627,5839006,5832737,5806994,5763981,5709496,5648825,5583264,5514812,5451838,5395392,5345056,5308063,5278287,5242134,5198557,5148312,5089955,5030731,4974204,4917228,4860530,4804425,4748862,4693694,4638801,4584086,4529571,4475371,4421525,4368028,4314932,4262420,4210779,4160215,4110738,4062277,4014715,3967911,3921722,3875955,3830429,3785024,3739701,3694496,3649496,3604807,3560530,3516753,3473568,3431065,3389294,3348222,3307742,3267753,3228198,3189049
10-14,1700915,1749845,1800604,1853234,1908751,1965827,2022887,2080470,2137849,2193325,2247090,2303317,2367868,2444857,2538976,2651059,2774347,2901869,3031024,3159226,3286529,3415990,3547821,3680602,3812610,3941400,4065732,4187026,4307269,4427551,4549845,4675577,4802269,4925578,5039786,5137333,5210547,5256377,5278703,5286067,5288560,5296157,5316109,5349898,5394889,5446186,5498053,5546415,5590000,5629379,5672446,5726381,5784361,5834615,5869004,5882587,5875375,5855758,5837946,5832615,5840284,5854106,5862229,5856705,5835247,5802787,5773805,5760606,5765916,5780736,5792611,5791835,5771141,5731620,5680503,5622889,5558680,5490327,5426504,5368553,5316609,5278275,5247659,5211349,5168290,5119162,5062398,5005024,4950346,4894983,4839434,4783890,4728301,4672658,4617056,4561630,4506592,4452183,4398490,4345503,4293215,4241714,4191165,4141634,4093008,4045115,3997807,3950971,3904546,3858452,3812624,3767038,3721714,3676716,3632116,3587981,3544352,3501243,3458664,3416648,3375200
15-19,1457065,1487665,1520034,1555311,1594422,1637826,1684788,1733764,1784637,1838423,1893880,1949680,2006322,2062958,2117353,2169120,2221891,2281331,2351633,2437432,2539546,2651874,2768315,2887059,3006061,3125075,3246227,3369110,3492792,3616224,3737072,3853395,3966660,4079217,4191626,4304538,4418409,4530641,4637821,4736318,4820415,4882698,4919919,4936285,4939851,4938845,4939969,4947116,4963740,4991364,5043006,5126980,5225787,5316660,5388039,5449609,5518804,5596936,5675108,5742321,5785115,5800302,5793677,5780228,5773570,5775413,5782347,5786623,5781331,5762108,5732735,5707863,5699194,5707917,5726059,5741501,5743180,5723930,5684855,5633265,5574727,5509572,5440565,5376589,5319071,5268085,5230992,5201713,5166799,5125059,5077024,5021080,4964158,4909590,4854182,4798600,4743174,4687961,4632993,4578355,4524116,4470396,4417314,4364840,4312857,4261300,4210241,4159876,4110346,4061641,4013695,3966442,3919831,3873823,3828327,3783243,3738491,3694020,3649828,3605930,3562355
20-24,1229761,1263998,1296649,1327530,1357110,1385443,1414046,1444484,1477846,1514867,1556016,1601002,1648515,1698294,1750815,1804316,1857004,1908938,1959222,2005885,2049018,2092700,2142804,2203643,2279828,2372432,2475511,2582451,2690917,2799135,2907236,3017344,3129592,3243203,3356150,3465077,3568168,3666581,3762019,3855840,3950604,4047849,4145406,4238740,4322172,4388999,4430947,4442776,4425359,4384353,4343955,4333032,4358262,4412496,4485753,4574099,4680647,4802174,4934523,5070146,5199117,5323453,5437306,5533297,5605715,5645351,5653833,5643354,5631304,5628299,5634636,5645969,5654477,5651613,5633880,5607141,5583942,5575079,5582406,5598331,5611511,5611494,5591495,5552865,5502810,5446599,5384281,5318244,5256957,5201613,5152117,5115625,5086242,5051069,5009262,4961570,4906610,4851218,4798634,4745698,4692906,4640372,4587915,4535344,4482581,4429640,4376683,4323962,4271637,4219791,4168533,4118058,4068622,4020374,3973250,3927099,3881737,3836979,3792671,3748633,3704727
25-29,1025867,1053976,1083144,1113630,1145578,1179370,1213583,1246191,1276933,1306044,1333603,1361565,1391573,1424641,1461284,1501776,1545667,1591445,1638724,1688010,1737792,1786692,1835063,1882099,1925895,1966864,2008948,2057101,2114993,2187156,2274636,2371783,2472836,2576140,2679512,2782053,2885836,2991019,3096403,3200406,3301256,3397950,3491604,3583103,3672348,3760667,3848354,3931290,4001952,4052065,4081446,4094104,4089779,4069688,4040452,4015926,4015157,4050478,4129712,4248147,4387212,4535873,4683364,4821990,4948150,5060770,5165179,5261801,5347146,5413795,5452169,5462492,5459059,5455013,5457487,5468610,5481775,5487992,5480399,5457552,5426405,5399978,5389109,5395783,5412572,5428200,5432051,5416845,5383092,5337062,5283441,5222242,5156124,5093896,5037347,4986938,4949991,4921021,4887626,4848920,4805368,4755226,4704606,4656152,4606393,4555606,4503933,4451438,4398328,4344954,4291717,4239054,4187361,4136828,4087452,4039158,3991890,3945615,3900207,3855405,3810958
30-34,851604,874507,899831,926986,955412,984432,1013457,1043343,1074193,1105943,1139011,1172522,1204665,1235158,1264113,1291544,1319273,1348753,1380892,1416285,1455267,1497587,1541989,1587970,1635873,1684495,1732623,1780013,1825704,1868104,1907351,1947152,1992906,2048811,2119151,2204217,2298466,2396346,2495817,2594952,2693883,2795108,2898642,3003048,3106357,3206299,3301327,3391231,3474479,3548896,3617813,3686484,3753507,3813016,3859628,3890682,3906322,3908223,3906683,3909366,3917173,3940982,3990256,4067593,4170132,4289125,4415611,4542431,4665110,4779527,4883783,4981548,5079098,5170510,5243266,5290370,5308853,5305874,5295314,5289607,5292562,5299182,5301627,5293616,5273644,5247959,5228399,5224497,5237092,5257939,5275326,5278674,5261234,5224294,5174975,5118800,5056517,4991117,4931220,4878419,4832839,4801103,4777290,4748657,4713695,4672457,4623171,4572071,4522247,4470926,4418947,4366877,4315029,4263669,4213042,4163308,4114550,4066766,4019743,3973174,3926821
35-39,742851,751094,761711,775476,792865,813843,837796,863890,891413,919670,948045,976421,1005814,1036254,1067612,1100249,1133224,1164680,1194341,1222435,1248997,1275935,1304889,1336476,1371110,1409382,1451113,1494574,1539281,1585899,1632908,1678942,1724404,1768838,1810707,1849603,1889035,1934311,1989060,2057441,2140520,2233222,2329991,2428780,2527597,2626392,2727330,2829630,2930379,3026403,3116452,3201443,3282726,3359498,3430894,3499460,3568727,3637809,3707547,3773550,3823944,3854187,3864402,3859599,3848667,3841626,3850503,3885673,3951463,4044689,4154393,4271017,4395862,4523029,4642247,4754232,4861047,4959113,5042110,5105059,5143033,5154778,5148298,5137460,5134264,5142032,5155244,5165278,5164750,5150905,5128896,5109959,5103724,5111821,5127266,5139695,5139652,5121091,5085443,5039529,4988391,4932234,4873274,4819140,4770711,4727692,4696482,4671555,4640942,4603795,4560800,4510719,4459945,4411594,4362864,4314336,4266204,4218352,4170613,4122870,4075075
40-44,665514,673909,681800,689320,696929,705324,715145,726974,741463,758972,779480,802813,828399,855429,883214,911124,938891,967426,996819,1027056,1058465,1090327,1121096,1150139,1177589,1203725,1230407,1258721,1289418,1323226,1360291,1400332,1442210,1485787,1531721,1578222,1623903,1669232,1713265,1754400,1792871,1832271,1877553,1932266,2000478,2083194,2175305,2270934,2367164,2461497,2554507,2649580,2746919,2843987,2938226,3028124,3113717,3196346,3279487,3362707,3442514,3519946,3593241,3658871,3713032,3751079,3769730,3769994,3758451,3743606,3730733,3731464,3766068,3836836,3934189,4051115,4177681,4304342,4424398,4534964,4638205,4737478,4830252,4910872,4974581,5016317,5034221,5035162,5031566,5034077,5045113,5058881,5067102,5063226,5045540,5020112,4998728,4991290,4999591,5016768,5032449,5036918,5023589,4993107,4951464,4903156,4848261,4789170,4733843,4683752,4639197,4606925,4581823,4552245,4517279,4477383,4430999,4384013,4339082,4293107,4246450
45-49,576177,586513,596173,605789,615744,625977,635871,645001,653450,661575,669981,679709,691570,705957,723257,743428,766087,790675,816535,843054,869611,896222,923954,952492,981797,1012437,1043592,1073417,1101604,1128422,1153786,1179428,1206821,1236884,1270277,1307007,1346799,1388623,1431813,1476853,1522594,1567781,1612685,1656503,1697721,1736502,1776114,1821049,1874291,1939557,2018287,2106347,2198550,2292294,2385367,2478044,2573118,2670738,2771115,2871880,2967970,3058127,3142792,3222388,3296774,3366995,3434871,3499427,3558631,3608815,3636991,3640737,3638877,3635723,3629252,3628926,3644659,3684489,3751145,3842543,3952791,4073110,4194896,4312040,4421886,4526453,4628679,4725481,4810476,4878045,4922387,4941238,4941404,4935627,4935147,4943154,4954631,4961905,4958749,4943464,4921763,4904830,4901887,4914150,4934340,4951848,4956931,4943228,4911761,4868952,4819759,4764673,4706306,4652565,4604838,4563250,4534174,4512251,4485672,4453215,4415143
